<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200205,000000,3104.8600000,3137.9700000,3083.2600000,3114.2500000,89542515840
20200206,000000,3132.8400000,3145.1500000,3086.9100000,3096.6800000,68274902780
20200207,000000,3103.1300000,3108.2800000,3056.8500000,3087.6300000,72646728796
20200210,000000,3087.2500000,3092.9300000,3049.3300000,3062.4100000,66051446948
20200211,000000,3072.3900000,3109.2200000,3069.9000000,3097.5800000,91556273983
20200212,000000,3103.6400000,3122.2700000,3095.7000000,3122.2700000,83872830883
20200213,000000,3116.9900000,3122.1900000,3096.9800000,3110.0500000,63560227880
20200214,000000,3116.4600000,3120.8900000,3084.5700000,3096.8800000,51397252517
20200217,000000,3099.8600000,3110.0600000,3092.4500000,3110.0600000,36147422395
20200218,000000,3104.4200000,3104.4200000,3064.1500000,3074.0500000,57353551342
20200219,000000,3090.0100000,3117.8400000,3086.4100000,3114.5700000,55406709716
20200220,000000,3120.5100000,3139.5900000,3117.5000000,3125.1000000,56336963229
20200221,000000,3109.4500000,3129.2400000,3098.7600000,3106.0300000,47793664892
20200225,000000,3053.3900000,3073.2700000,3002.6800000,3002.6800000,86905007829
20200226,000000,2989.3100000,3026.2600000,2958.4600000,3017.4200000,107084958243
20200227,000000,2983.4100000,3002.2000000,2910.4600000,2915.8400000,102823638357
20200228,000000,2847.0700000,2850.1800000,2744.1800000,2785.0800000,184649721743
20200302,000000,2845.3400000,2875.3000000,2714.3600000,2765.7700000,144560659500
20200303,000000,2820.7100000,2844.0400000,2789.7600000,2821.3700000,106771162096
20200304,000000,2797.1900000,2841.1300000,2779.8500000,2828.0100000,82510191732
20200305,000000,2856.6700000,2861.6000000,2800.4300000,2816.7000000,80567170588
20200306,000000,2769.2800000,2782.7700000,2680.0600000,2719.5100000,139178454930
20200310,000000,2480.7200000,2661.6300000,2435.6200000,2498.9400000,248732636475
20200311,000000,2536.9200000,2555.4300000,2457.3600000,2492.8800000,141024833349
20200312,000000,2413.0200000,2413.0200000,2277.5800000,2286.4000000,173022073298
20200313,000000,2277.6600000,2418.1500000,2275.1600000,2316.3800000,184469011805
20200316,000000,2294.0500000,2301.1900000,2179.1200000,2266.9000000,140704172457
20200317,000000,2263.6200000,2313.3400000,2172.5200000,2224.7400000,133391091136
20200318,000000,2192.7900000,2205.4100000,2097.8400000,2112.6400000,128603185153
20200319,000000,2139.3600000,2288.0900000,2074.0000000,2275.7000000,160372894970
20200320,000000,2327.2700000,2418.7400000,2314.7500000,2331.6100000,180698187232
20200323,000000,2252.9100000,2321.7600000,2213.4900000,2253.3500000,128523207053
20200324,000000,2349.4700000,2435.2700000,2341.2100000,2415.9700000,126199238953
20200325,000000,2465.3900000,2518.3800000,2372.3400000,2452.6900000,170179806339
20200326,000000,2444.5900000,2514.9200000,2403.6000000,2489.9700000,109485216806
20200327,000000,2494.0200000,2498.3300000,2378.8800000,2401.1100000,95057170139
20200330,000000,2377.2100000,2435.5300000,2357.5300000,2433.3500000,83152414694
20200331,000000,2468.0700000,2526.1300000,2459.1900000,2508.8100000,113755975000
20200401,000000,2465.5600000,2491.6600000,2449.0100000,2473.6100000,80256140704
20200402,000000,2532.4300000,2562.5400000,2470.8500000,2545.9500000,134240120328
20200403,000000,2545.8800000,2609.1600000,2533.0600000,2572.2300000,117108960828
20200406,000000,2597.2800000,2639.5600000,2576.2800000,2622.5900000,89823141209
20200407,000000,2648.7400000,2688.6700000,2612.9600000,2634.7400000,120867694592
20200408,000000,2617.6600000,2670.1200000,2603.9900000,2670.1200000,83665607710
20200409,000000,2688.6600000,2713.5000000,2643.9800000,2701.7700000,117023415634
20200410,000000,2671.9400000,2680.8900000,2656.4500000,2677.8600000,36513692244
20200413,000000,2675.7300000,2677.9000000,2610.6100000,2628.8500000,47643715825
20200414,000000,2653.1400000,2667.5800000,2619.9100000,2631.8300000,82460437952
20200415,000000,2617.1900000,2617.1900000,2489.9900000,2498.9400000,99986258141
20200416,000000,2511.5500000,2550.8400000,2468.6500000,2515.0500000,106189551975
20200417,000000,2553.8700000,2556.4200000,2516.8700000,2534.9700000,70173608170
20200420,000000,2524.3100000,2546.1400000,2502.3800000,2525.9700000,67663196242
20200421,000000,2487.6300000,2500.1800000,2431.9800000,2488.0200000,109197015000
20200422,000000,2474.3200000,2584.6800000,2471.2300000,2573.4100000,97655302076
20200423,000000,2600.2800000,2620.2400000,2558.3200000,2599.4100000,82087755064
20200424,000000,2585.5900000,2596.9700000,2551.6600000,2562.0300000,64998483150
20200427,000000,2572.2000000,2597.6400000,2557.8100000,2570.9100000,53714781405
20200428,000000,2567.7400000,2644.7900000,2566.9200000,2612.2400000,91839443563
20200429,000000,2629.2400000,2669.4700000,2617.3400000,2663.1400000,85375068626
20200430,000000,2684.6200000,2700.9700000,2629.5700000,2650.5600000,103074636334
20200504,000000,2623.8900000,2641.0300000,2599.7400000,2624.6400000,60831813471
20200505,000000,2652.9200000,2666.3800000,2634.4900000,2653.5100000,50831285174
20200506,000000,2659.0800000,2674.9400000,2626.6800000,2632.1000000,67297608617
20200507,000000,2633.6100000,2664.9900000,2627.4300000,2634.0000000,70256546513
20200508,000000,2647.8000000,2648.4500000,2613.8300000,2641.5500000,52781422323
20200512,000000,2633.8600000,2651.9700000,2620.3500000,2642.0400000,69766236612
20200513,000000,2630.7900000,2630.7900000,2601.2500000,2604.9800000,65122067942
20200514,000000,2596.1300000,2606.9500000,2564.4400000,2590.3100000,75036648673
20200515,000000,2616.1400000,2633.2900000,2593.9100000,2593.9100000,69719413922
20200518,000000,2623.6100000,2694.2500000,2623.6100000,2694.2500000,90270188688
20200519,000000,2706.8200000,2720.0600000,2683.8100000,2711.7200000,90468989581
20200520,000000,2706.0700000,2771.2700000,2700.6400000,2770.7900000,101166454638
20200521,000000,2767.9700000,2794.6000000,2702.6700000,2718.6700000,99060517647
20200522,000000,2691.5800000,2718.4800000,2687.1800000,2709.3800000,64772612461
20200525,000000,2720.6800000,2757.9300000,2720.6800000,2757.9300000,37287726909
20200526,000000,2777.3600000,2796.8500000,2750.5100000,2754.0400000,80629535592
20200527,000000,2748.2500000,2780.0500000,2711.9000000,2741.0200000,99161791169
20200528,000000,2747.4100000,2781.2500000,2737.9400000,2779.9800000,82839073066
20200529,000000,2758.9700000,2765.3100000,2717.8000000,2734.8300000,150217266595
20200601,000000,2761.2300000,2773.5600000,2733.2800000,2750.2400000,75200963162
20200602,000000,2760.6300000,2796.5200000,2754.8500000,2796.5100000,94796949530
20200603,000000,2812.8200000,2835.0600000,2792.2400000,2831.0800000,121680253623
20200604,000000,2822.5900000,2825.4800000,2757.6100000,2766.2600000,130632296663
20200605,000000,2780.3200000,2800.8100000,2769.5100000,2792.7400000,100284833455
20200608,000000,2806.8100000,2825.3100000,2782.9200000,2796.3000000,96892863097
20200609,000000,2804.3600000,2813.4800000,2765.1500000,2795.9000000,78686730146
20200610,000000,2795.1000000,2803.3500000,2768.3000000,2785.1800000,89454120662
20200611,000000,2753.6300000,2758.8300000,2726.1500000,2743.8000000,94517987304
20200615,000000,2703.0400000,2720.4000000,2670.4100000,2719.0600000,86497601732
20200616,000000,2744.4900000,2779.7100000,2741.8400000,2748.3000000,81225105647
20200617,000000,2758.2200000,2771.2600000,2733.9000000,2740.1000000,69771427040
20200618,000000,2731.2900000,2738.0400000,2700.5400000,2724.3300000,77604681777
20200619,000000,2742.5900000,2769.8600000,2738.4500000,2758.6700000,89037583759
20200622,000000,2746.6100000,2763.2900000,2726.6500000,2763.2900000,59988625046
20200623,000000,2775.2900000,2794.4300000,2767.4600000,2791.9700000,60354831771
20200625,000000,2746.3100000,2771.6000000,2740.6500000,2760.7500000,77705987111
20200626,000000,2779.0700000,2784.8900000,2746.7800000,2761.7400000,57008606029
20200629,000000,2748.4800000,2767.9500000,2737.8600000,2767.9500000,56287025267
20200630,000000,2773.3900000,2778.0900000,2743.2000000,2743.2000000,61943509213
20200702,000000,2758.9200000,2789.9200000,2758.9200000,2788.7900000,62424581353
20200703,000000,2790.6300000,2803.3200000,2782.6500000,2801.6600000,40610098890
20200706,000000,2825.5100000,2855.9400000,2825.5100000,2835.1800000,73695447848
20200707,000000,2822.9000000,2835.7600000,2814.4000000,2825.2100000,61989347407
20200708,000000,2811.8700000,2823.0000000,2806.5000000,2815.8300000,56770187936
20200709,000000,2804.9800000,2810.7400000,2773.4800000,2782.4300000,64509467616
20200710,000000,2766.1200000,2800.9400000,2765.4900000,2800.9400000,52675376382
20200713,000000,2806.6800000,2818.1000000,2765.0900000,2766.7900000,59062967791
20200714,000000,2749.5700000,2749.5700000,2703.3500000,2744.5400000,78664022706
20200715,000000,2731.9600000,2763.2000000,2724.3500000,2747.9100000,66876997192
20200716,000000,2746.8800000,2762.6800000,2734.3000000,2760.0100000,43145441366
20200717,000000,2758.3400000,2774.7900000,2752.5100000,2774.7900000,41113383417
20200720,000000,2770.9800000,2802.2400000,2758.6900000,2802.2400000,50915459757
20200721,000000,2816.2900000,2849.1800000,2813.4000000,2825.7100000,81672920482
20200722,000000,2824.7600000,2844.1200000,2815.0300000,2834.6500000,55532469270
20200723,000000,2851.8900000,2866.7800000,2843.9300000,2851.7900000,55384618689
20200724,000000,2831.7000000,2863.1200000,2822.2600000,2863.1200000,59473274346
20200727,000000,2872.8200000,2896.2800000,2869.7500000,2884.8800000,65271567734
20200728,000000,2899.4900000,2907.0300000,2877.4000000,2895.4500000,60720735494
20200729,000000,2892.8400000,2918.4200000,2889.6900000,2918.4200000,65283344649
20200730,000000,2915.3400000,2919.3500000,2869.9900000,2882.6300000,58998044299
20200731,000000,2903.9800000,2917.6900000,2899.5800000,2911.5700000,61904395535
20200803,000000,2918.1600000,2942.7700000,2911.1900000,2929.9700000,61064409541
20200804,000000,2935.1900000,2942.0600000,2923.3600000,2940.4600000,53379189530
20200805,000000,2954.9700000,2994.0800000,2952.1500000,2992.7800000,88713978904
20200806,000000,2997.1500000,3004.8300000,2981.7900000,2988.5000000,58301984562
20200807,000000,2990.6900000,2994.4600000,2968.4800000,2972.3500000,56258864420
20200810,000000,2980.4800000,2998.7800000,2960.7800000,2960.7800000,48019499660
20200811,000000,2966.9800000,3012.5800000,2966.9800000,3005.6300000,93734815375
20200812,000000,2990.4800000,3053.9900000,2985.2500000,3053.9900000,89279363514
20200813,000000,3056.2100000,3081.1500000,3047.7400000,3080.4400000,91764463491
20200814,000000,3074.0400000,3075.8100000,3044.7100000,3061.9900000,62096882708
20200817,000000,3071.3900000,3090.4200000,3041.9900000,3052.4600000,82525600190
20200818,000000,3056.7900000,3073.8500000,3048.3100000,3050.7000000,58562508471
20200819,000000,3049.1900000,3073.8400000,3041.4300000,3056.5400000,55321489953
20200820,000000,3042.6900000,3042.6900000,2993.6900000,2993.6900000,90101841899
20200821,000000,3013.4000000,3024.7100000,2973.1100000,2995.6100000,89980771052
20200824,000000,3005.8600000,3036.6300000,3005.8600000,3029.4200000,56090322437
20200825,000000,3045.3900000,3051.2700000,3020.4600000,3029.0500000,57974269707
20200826,000000,3039.5500000,3053.9000000,3024.0400000,3051.9700000,74241762708
20200827,000000,3051.2000000,3056.2500000,3002.1000000,3012.0100000,66131754150
20200828,000000,3015.7000000,3015.7000000,2976.3400000,2980.1700000,60139550850
20200831,000000,2993.9500000,3012.4400000,2962.0600000,2966.2000000,184001931133
20200901,000000,2976.0700000,2993.2800000,2967.9600000,2975.0000000,81890923134
20200902,000000,2989.7600000,3002.2500000,2946.2900000,2956.5000000,94988586744
20200903,000000,2953.9500000,2967.6100000,2917.2400000,2931.9200000,82989442207
20200904,000000,2920.2200000,2944.6600000,2910.3900000,2921.5500000,69997849774
20200907,000000,2929.9800000,2947.1700000,2925.5500000,2932.2900000,53483774599
20200908,000000,2939.5000000,2948.8800000,2875.9600000,2888.7900000,82332639046
20200909,000000,2879.7500000,2899.1700000,2872.9200000,2876.0700000,64443700495
20200910,000000,2889.5700000,2897.5500000,2858.6500000,2897.5500000,65787625355
20200911,000000,2887.6800000,2911.7100000,2874.4700000,2910.5100000,58206856278
20200914,000000,2918.2900000,2938.2400000,2918.2900000,2928.3800000,62169731197
20200915,000000,2936.4200000,2982.2000000,2932.3600000,2980.5800000,74748355784
20200916,000000,2982.4900000,2990.7400000,2960.6800000,2975.0100000,73285008183
20200917,000000,2947.5400000,2974.5400000,2945.7800000,2971.7400000,85774277598
20200918,000000,2976.1000000,2977.1300000,2944.2200000,2951.7900000,87835262045
20200921,000000,2946.1800000,2946.1800000,2857.7800000,2863.6700000,84915278078
20200922,000000,2874.0000000,2907.9800000,2868.3800000,2884.6600000,72694032937
20200923,000000,2933.3300000,2968.5500000,2916.2700000,2916.3900000,144057907966
20200924,000000,2906.0000000,2920.4600000,2880.3900000,2912.7600000,87868199396
20200925,000000,2912.8300000,2912.8300000,2870.1600000,2896.8300000,75662859146
20200928,000000,2909.6200000,2938.9400000,2909.6200000,2927.1700000,69770125370
20200929,000000,2938.3700000,2947.7500000,2889.2200000,2910.1200000,80159930229
20200930,000000,2908.1100000,2920.0300000,2893.8000000,2905.8100000,66808053460
20201001,000000,2911.0800000,2919.2500000,2882.8100000,2889.8000000,74033823738
20201002,000000,2840.7200000,2859.0100000,2824.6900000,2852.4200000,78844415008
20201005,000000,2860.5300000,2882.9400000,2845.6300000,2881.9800000,63509160152
20201006,000000,2885.3800000,2906.6500000,2883.6900000,2892.9900000,73021330701
20201007,000000,2883.5800000,2888.2000000,2838.4500000,2842.5800000,67235083006
20201008,000000,2850.6500000,2859.8700000,2837.0500000,2846.3900000,55803931185
20201009,000000,2841.4200000,2841.4600000,2811.0500000,2834.0900000,67564085234
20201012,000000,2834.3300000,2862.3600000,2827.5200000,2846.1400000,58718697811
20201013,000000,2846.0400000,2859.5200000,2822.9700000,2829.2300000,56828024719
20201014,000000,2829.8800000,2857.4700000,2824.1200000,2856.0800000,54266740542
20201015,000000,2849.2400000,2850.1100000,2803.9000000,2817.2900000,65315267335
20201016,000000,2819.0400000,2819.0400000,2785.8500000,2799.5400000,71062651944
20201019,000000,2804.2500000,2809.4200000,2787.5000000,2794.2700000,48808418102
20201020,000000,2785.9900000,2817.7300000,2774.1600000,2803.0600000,70200100872
20201021,000000,2811.8700000,2816.9000000,2782.3600000,2786.2300000,65964265507
20201022,000000,2784.1800000,2814.1200000,2783.3700000,2803.1700000,61193148610
20201023,000000,2807.3000000,2826.5300000,2799.6300000,2816.7000000,58028372135
20201026,000000,2812.4800000,2819.0500000,2785.5900000,2785.5900000,52620022209
20201027,000000,2784.1300000,2790.1900000,2758.0000000,2763.0300000,61439709363
20201028,000000,2758.8400000,2758.8400000,2680.8300000,2693.4600000,91471007602
20201029,000000,2704.5000000,2728.9700000,2682.6800000,2709.0400000,74274727007
20201030,000000,2698.9400000,2706.3400000,2664.4400000,2690.5900000,68437052454
20201102,000000,2681.1900000,2743.9800000,2658.4900000,2737.5400000,72875417364
20201103,000000,2753.9700000,2791.7700000,2750.2600000,2786.4200000,78312915395
20201105,000000,2824.4500000,2869.9100000,2812.6700000,2861.3900000,105075809980
20201106,000000,2843.7500000,2896.0700000,2832.9800000,2895.6200000,80150971975
20201109,000000,2922.4900000,2988.8800000,2910.4200000,2987.7500000,186313489561
20201110,000000,2963.2100000,3013.5700000,2943.4300000,2998.6100000,150143736891
20201111,000000,3004.2000000,3031.6900000,3004.2000000,3015.0300000,156821124273
20201112,000000,2996.4800000,3028.5200000,2988.0300000,3025.8300000,111789624957
20201113,000000,3001.5500000,3027.4500000,2995.1700000,3025.2200000,94095252969
20201116,000000,3064.1200000,3081.2800000,3046.7700000,3079.7400000,112988144821
20201117,000000,3083.4000000,3087.1900000,3027.7600000,3052.2200000,97608154857
20201118,000000,3042.6200000,3086.7700000,3035.5700000,3080.6800000,86636354933
20201119,000000,3064.8400000,3071.2500000,3040.6600000,3046.4900000,80620625898
20201120,000000,3048.2300000,3060.9100000,3035.5600000,3051.0400000,57915610051
20201123,000000,3066.9300000,3094.0600000,3042.6100000,3047.0600000,88577716531
20201124,000000,3075.6200000,3098.8300000,3053.1600000,3095.8400000,99136768324
20201125,000000,3117.4900000,3134.7100000,3089.1600000,3134.5200000,130490033334
20201126,000000,3144.4100000,3149.9000000,3119.4600000,3138.6200000,86266837452
20201127,000000,3131.9600000,3150.7800000,3112.4400000,3142.6800000,91351650896
20201130,000000,3130.5100000,3134.7900000,3093.7700000,3107.5800000,171152289792
20201201,000000,3115.5500000,3159.0300000,3114.0600000,3147.7900000,108122983884
20201202,000000,3152.5900000,3189.6100000,3139.9200000,3189.6100000,94905754026
20201203,000000,3187.1400000,3192.9800000,3141.4000000,3162.6700000,95166303487
20201204,000000,3172.3600000,3200.2300000,3171.6800000,3184.7200000,94447947565
20201207,000000,3179.0800000,3208.5300000,3172.2900000,3195.0800000,87797850802
20201208,000000,3182.1500000,3198.1000000,3150.8400000,3179.6100000,93323100829
20201209,000000,3184.6700000,3226.4800000,3182.5400000,3211.6600000,96133781825
20201210,000000,3192.9500000,3258.3100000,3189.0400000,3258.3100000,103030272085
20201211,000000,3259.6500000,3278.2400000,3248.1100000,3276.5800000,108272682165
20201214,000000,3294.0600000,3314.2000000,3249.3600000,3254.8300000,124575239806
20201215,000000,3251.5400000,3284.8400000,3237.8700000,3248.1100000,92670649434
20201216,000000,3261.6100000,3275.6800000,3242.7000000,3269.9500000,94403408967
20201217,000000,3278.9900000,3318.3900000,3274.4500000,3282.6700000,138217821398
20201218,000000,3281.7500000,3283.3200000,3245.2500000,3273.7500000,125942200923
20201221,000000,3242.6200000,3244.4300000,3170.0300000,3186.3800000,135766405098
20201222,000000,3180.2000000,3249.1900000,3175.5100000,3236.4600000,98812846384
20201223,000000,3223.3900000,3255.4000000,3218.1900000,3252.1000000,65433520875
20201224,000000,3256.5500000,3264.6000000,3230.6200000,3236.8800000,50752693827
20201225,000000,3238.9100000,3248.6300000,3228.7400000,3246.3500000,23650894826
20201228,000000,3250.6400000,3267.6100000,3249.9100000,3258.9500000,52064728495
20201229,000000,3270.7500000,3282.2300000,3264.3300000,3274.6700000,62043587629
20201230,000000,3275.4400000,3294.6200000,3267.3900000,3289.0200000,67240374440
20210104,000000,3304.7500000,3350.8100000,3304.1700000,3350.5100000,66835524820
20210105,000000,3326.0600000,3365.3200000,3301.8800000,3359.1500000,71655035538
20210106,000000,3375.9100000,3380.6300000,3344.4300000,3371.0300000,71374633095
20210108,000000,3399.2300000,3474.6600000,3397.1500000,3454.8200000,131904843837
20210111,000000,3449.9100000,3516.9000000,3436.6600000,3482.4800000,143248254278
20210112,000000,3496.5900000,3520.6600000,3451.8700000,3471.6500000,104187325062
20210113,000000,3493.6900000,3504.5600000,3448.9400000,3470.2600000,99549335378
20210114,000000,3462.8700000,3507.7100000,3439.0100000,3490.8500000,108528483463
20210115,000000,3482.5100000,3509.2400000,3448.5400000,3450.9500000,104925360899
20210118,000000,3436.3900000,3475.1800000,3426.1100000,3471.9200000,91986682524
20210119,000000,3484.4600000,3491.9300000,3439.6400000,3443.2300000,86376065250
20210120,000000,3457.0000000,3482.0300000,3447.8100000,3466.8000000,75713649369
20210121,000000,3483.5300000,3489.0700000,3407.2200000,3422.6700000,114885874902
20210122,000000,3398.1500000,3399.2800000,3362.0100000,3382.9200000,110658345786
20210125,000000,3407.3900000,3425.7800000,3385.7400000,3397.4800000,106641524465
20210126,000000,3382.3900000,3408.1300000,3374.1000000,3390.7600000,80219370108
20210127,000000,3400.5900000,3408.6400000,3333.0400000,3343.6200000,105541897596
20210128,000000,3317.0800000,3359.1000000,3307.4200000,3342.0100000,91770358436
20210129,000000,3331.5200000,3337.0100000,3272.5300000,3277.0800000,112809515369
20210201,000000,3285.3600000,3305.9100000,3268.5200000,3291.1400000,85956218339
20210202,000000,3329.6700000,3366.1300000,3321.7000000,3360.2500000,98393387622
20210203,000000,3350.9700000,3376.8300000,3332.5000000,3343.4600000,79634530378
20210204,000000,3359.7900000,3384.4800000,3351.9400000,3372.0000000,88134034619
20210205,000000,3399.9300000,3406.2200000,3368.5800000,3392.7300000,86590382240
